old_uri,new_uri
http://example.com/mdhn/tgm012426,http://example.com/mdhn/tgm012426_Headaches
http://example.com/mdhn/tgm003874,http://example.com/mdhn/tgm003874_Fashion_models
http://example.com/mdhn/tgm007999,http://example.com/mdhn/tgm007999_Political_organizations
http://example.com/mdhn/tgm010499,http://example.com/mdhn/tgm010499_Tablecloths
http://example.com/mdhn/tgm007765,http://example.com/mdhn/tgm007765_Pickpockets
http://example.com/mdhn/tgm006370,http://example.com/mdhn/tgm006370_Meat_cutting
http://example.com/mdhn/tgm006251,http://example.com/mdhn/tgm006251_Manufacturers_catalogs
http://example.com/mdhn/tgm003786,http://example.com/mdhn/tgm003786_Face_lifts
http://example.com/mdhn/tgm011902,http://example.com/mdhn/tgm011902_Youth_bands
http://example.com/mdhn/tgm010417,http://example.com/mdhn/tgm010417_Surfing
http://example.com/mdhn/tgm013326,http://example.com/mdhn/tgm013326_Factory_workers
http://example.com/mdhn/tgm006613,http://example.com/mdhn/tgm006613_Mine_buildings
http://example.com/mdhn/tgm009466,http://example.com/mdhn/tgm009466_Sharpshooting
http://example.com/mdhn/tgm013167,http://example.com/mdhn/tgm013167_Ofenbilder
http://example.com/mdhn/tgm005225,http://example.com/mdhn/tgm005225_Hunting_trophies
http://example.com/mdhn/tgm009706,http://example.com/mdhn/tgm009706_Slaughtering
http://example.com/mdhn/tgm000955,http://example.com/mdhn/tgm000955_Bells
http://example.com/mdhn/tgm000514,http://example.com/mdhn/tgm000514_Art_clubs
http://example.com/mdhn/tgm010862,http://example.com/mdhn/tgm010862_Tobacco_shops
http://example.com/mdhn/tgm001562,http://example.com/mdhn/tgm001562_Calotypes
http://example.com/mdhn/tgm012746,http://example.com/mdhn/tgm012746_School_shootings
http://example.com/mdhn/tgm001377,http://example.com/mdhn/tgm001377_Buddhism
http://example.com/mdhn/tgm009183,http://example.com/mdhn/tgm009183_Sausages
http://example.com/mdhn/tgm005859,http://example.com/mdhn/tgm005859_Leader_heads
http://example.com/mdhn/tgm012647,http://example.com/mdhn/tgm012647_Sinks
http://example.com/mdhn/tgm010337,http://example.com/mdhn/tgm010337_Subway_stations
http://example.com/mdhn/tgm002417,http://example.com/mdhn/tgm002417_Concrete_products_industry
http://example.com/mdhn/tgm009515,http://example.com/mdhn/tgm009515_Shipping
http://example.com/mdhn/tgm006894,http://example.com/mdhn/tgm006894_Municipal_government
http://example.com/mdhn/tgm005664,http://example.com/mdhn/tgm005664_Keepsakes
http://example.com/mdhn/tgm005411,http://example.com/mdhn/tgm005411_Inscriptions
http://example.com/mdhn/tgm009328,http://example.com/mdhn/tgm009328_Seascape_drawings
http://example.com/mdhn/tgm004743,http://example.com/mdhn/tgm004743_Grocery_lists
http://example.com/mdhn/tgm004687,http://example.com/mdhn/tgm004687_Grandparents
http://example.com/mdhn/tgm009867,http://example.com/mdhn/tgm009867_Souffls
http://example.com/mdhn/tgm006075,http://example.com/mdhn/tgm006075_Loggias
http://example.com/mdhn/tgm007114,http://example.com/mdhn/tgm007114_Nostalgia
http://example.com/mdhn/tgm002876,http://example.com/mdhn/tgm002876_Danger
http://example.com/mdhn/tgm003255,http://example.com/mdhn/tgm003255_Draft_resisters
http://example.com/mdhn/tgm001338,http://example.com/mdhn/tgm001338_Briefcases
http://example.com/mdhn/tgm012733,http://example.com/mdhn/tgm012733_Interior_decorators
http://example.com/mdhn/tgm009270,http://example.com/mdhn/tgm009270_Scratchboard_drawings
http://example.com/mdhn/tgm006760,http://example.com/mdhn/tgm006760_Moral_aspects_of_war
http://example.com/mdhn/tgm006311,http://example.com/mdhn/tgm006311_Marmots
http://example.com/mdhn/tgm012186,http://example.com/mdhn/tgm012186_Engravers
http://example.com/mdhn/tgm008437,http://example.com/mdhn/tgm008437_Quadrangles_Courtyards
http://example.com/mdhn/tgm010248,http://example.com/mdhn/tgm010248_Street_railroad_employees
http://example.com/mdhn/tgm013308,http://example.com/mdhn/tgm013308_Dyes
http://example.com/mdhn/tgm007168,http://example.com/mdhn/tgm007168_Obstacles_Military_science
http://example.com/mdhn/tgm001919,http://example.com/mdhn/tgm001919_Cheering
http://example.com/mdhn/tgm013031,http://example.com/mdhn/tgm013031_Lighters_Firemaking_equipment
http://example.com/mdhn/tgm003278,http://example.com/mdhn/tgm003278_Drawing_rooms
http://example.com/mdhn/tgm006372,http://example.com/mdhn/tgm006372_Meat_industry_strikes
http://example.com/mdhn/tgm004698,http://example.com/mdhn/tgm004698_Graphic_design
http://example.com/mdhn/tgm008321,http://example.com/mdhn/tgm008321_Prophets
http://example.com/mdhn/tgm003015,http://example.com/mdhn/tgm003015_Desert_islands
http://example.com/mdhn/tgm005975,http://example.com/mdhn/tgm005975_Light_fixture_stores
http://example.com/mdhn/tgm010856,http://example.com/mdhn/tgm010856_Tobacco_industry_unions
http://example.com/mdhn/tgm004287,http://example.com/mdhn/tgm004287_Free_schools
http://example.com/mdhn/tgm009332,http://example.com/mdhn/tgm009332_Seascapes
http://example.com/mdhn/tgm010652,http://example.com/mdhn/tgm010652_Television_dance_parties
http://example.com/mdhn/tgm003819,http://example.com/mdhn/tgm003819_False_advertising
http://example.com/mdhn/tgm011765,http://example.com/mdhn/tgm011765_Women
http://example.com/mdhn/tgm013159,http://example.com/mdhn/tgm013159_Clothes_dryers
http://example.com/mdhn/tgm010878,http://example.com/mdhn/tgm010878_Tomatoes
http://example.com/mdhn/tgm003412,http://example.com/mdhn/tgm003412_Dwarfs
http://example.com/mdhn/tgm008219,http://example.com/mdhn/tgm008219_Primates
http://example.com/mdhn/tgm001166,http://example.com/mdhn/tgm001166_Body_painting
http://example.com/mdhn/tgm001806,http://example.com/mdhn/tgm001806_Cave_dwellings
http://example.com/mdhn/tgm010071,http://example.com/mdhn/tgm010071_State_parks__reserves
http://example.com/mdhn/tgm009614,http://example.com/mdhn/tgm009614_Signal_towers
http://example.com/mdhn/tgm001814,http://example.com/mdhn/tgm001814_Cedar_trees
http://example.com/mdhn/tgm007259,http://example.com/mdhn/tgm007259_Opium
http://example.com/mdhn/tgm009337,http://example.com/mdhn/tgm009337_Seating_furniture
http://example.com/mdhn/tgm011402,http://example.com/mdhn/tgm011402_Vitamins
http://example.com/mdhn/tgm001640,http://example.com/mdhn/tgm001640_Cantilevered_roofs
http://example.com/mdhn/tgm004550,http://example.com/mdhn/tgm004550_Girls
http://example.com/mdhn/tgm012113,http://example.com/mdhn/tgm012113_Cots
http://example.com/mdhn/tgm010000,http://example.com/mdhn/tgm010000_Sportswriters
http://example.com/mdhn/tgm006582,http://example.com/mdhn/tgm006582_Military_uniforms
http://example.com/mdhn/tgm012985,http://example.com/mdhn/tgm012985_War_films
http://example.com/mdhn/tgm005523,http://example.com/mdhn/tgm005523_Iron__steel_workers
http://example.com/mdhn/tgm010798,http://example.com/mdhn/tgm010798_Ticker_tape_parades
http://example.com/mdhn/tgm008049,http://example.com/mdhn/tgm008049_Popcorn
http://example.com/mdhn/tgm005828,http://example.com/mdhn/tgm005828_Launchings
http://example.com/mdhn/tgm008763,http://example.com/mdhn/tgm008763_Relief_printed_etchings
http://example.com/mdhn/tgm011463,http://example.com/mdhn/tgm011463_Walruses
http://example.com/mdhn/tgm012343,http://example.com/mdhn/tgm012343_Compasses_Drawing_instruments
http://example.com/mdhn/tgm000994,http://example.com/mdhn/tgm000994_Big_business
http://example.com/mdhn/tgm005813,http://example.com/mdhn/tgm005813_Lasers
http://example.com/mdhn/tgm011338,http://example.com/mdhn/tgm011338_Veterinary_drugs
http://example.com/mdhn/tgm001133,http://example.com/mdhn/tgm001133_Boarding_schools
http://example.com/mdhn/tgm005948,http://example.com/mdhn/tgm005948_License_plates
http://example.com/mdhn/tgm009616,http://example.com/mdhn/tgm009616_Signals
http://example.com/mdhn/tgm003685,http://example.com/mdhn/tgm003685_Evergreens
http://example.com/mdhn/tgm010608,http://example.com/mdhn/tgm010608_Technical_illustrations
http://example.com/mdhn/tgm006145,http://example.com/mdhn/tgm006145_Lynx
http://example.com/mdhn/tgm006939,http://example.com/mdhn/tgm006939_Mustaches
